team_id,team_name,country,city,founded_year,stadium_name,season,rank,played,wins,draws,losses,goals_for,goals_against,points,source_api,ingested_at,schema_version,extra_fields
3071,Bournemouth,England,"Bournemouth, Dorset",1899,Vitality Stadium,2023,11,32,10,15,7,48,49,45,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": """", ""home_league_position"": ""10"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""6"", ""home_league_D"": ""8"", ""home_league_L"": ""2"", ""home_league_GF"": ""23"", ""home_league_GA"": ""17"", ""home_league_PTS"": ""26"", ""away_league_position"": ""12"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""4"", ""away_league_D"": ""7"", ""away_league_L"": ""5"", ""away_league_GF"": ""25"", ""away_league_GA"": ""32"", ""away_league_PTS"": ""19"", ""team_badge"": ""https://apiv3.apifootball.com/badges/3071_afc-bournemouth.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
3085,Fulham,England,London,1879,Craven Cottage,2023,12,32,13,5,14,43,46,44,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": """", ""home_league_position"": ""7"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""9"", ""home_league_D"": ""2"", ""home_league_L"": ""5"", ""home_league_GF"": ""27"", ""home_league_GA"": ""19"", ""home_league_PTS"": ""29"", ""away_league_position"": ""17"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""4"", ""away_league_D"": ""3"", ""away_league_L"": ""9"", ""away_league_GF"": ""16"", ""away_league_GA"": ""27"", ""away_league_PTS"": ""15"", ""team_badge"": ""https://apiv3.apifootball.com/badges/3085_fulham.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
3429,Crystal Palace,England,London,1861,Selhurst Park,2023,13,31,11,9,11,35,36,42,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": """", ""home_league_position"": ""15"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""4"", ""home_league_D"": ""7"", ""home_league_L"": ""5"", ""home_league_GF"": ""16"", ""home_league_GA"": ""19"", ""home_league_PTS"": ""19"", ""away_league_position"": ""5"", ""away_promotion"": """", ""away_league_payed"": ""15"", ""away_league_W"": ""7"", ""away_league_D"": ""2"", ""away_league_L"": ""6"", ""away_league_GF"": ""19"", ""away_league_GA"": ""17"", ""away_league_PTS"": ""23"", ""team_badge"": ""https://apiv3.apifootball.com/badges/3429_crystal-palace.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
3100,Newcastle,England,Newcastle upon Tyne,1892,St. James' Park,2023,14,32,12,6,14,45,47,42,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": """", ""home_league_position"": ""11"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""8"", ""home_league_D"": ""2"", ""home_league_L"": ""6"", ""home_league_GF"": ""29"", ""home_league_GA"": ""26"", ""home_league_PTS"": ""26"", ""away_league_position"": ""15"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""4"", ""away_league_D"": ""4"", ""away_league_L"": ""8"", ""away_league_GF"": ""16"", ""away_league_GA"": ""21"", ""away_league_PTS"": ""16"", ""team_badge"": ""https://apiv3.apifootball.com/badges/3100_newcastle-united.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
3103,Leeds,England,"Leeds, West Yorkshire",1919,Elland Road,2023,15,32,8,12,12,39,49,36,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": """", ""home_league_position"": ""13"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""6"", ""home_league_D"": ""5"", ""home_league_L"": ""5"", ""home_league_GF"": ""22"", ""home_league_GA"": ""20"", ""home_league_PTS"": ""23"", ""away_league_position"": ""18"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""2"", ""away_league_D"": ""7"", ""away_league_L"": ""7"", ""away_league_GF"": ""17"", ""away_league_GA"": ""29"", ""away_league_PTS"": ""13"", ""team_badge"": ""https://apiv3.apifootball.com/badges/3103_leeds-united.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
3089,Nottingham,England,"Nottingham, Nottinghamshire",1865,The City Ground,2023,16,32,8,9,15,32,44,33,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": """", ""home_league_position"": ""17"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""3"", ""home_league_D"": ""6"", ""home_league_L"": ""7"", ""home_league_GF"": ""14"", ""home_league_GA"": ""20"", ""home_league_PTS"": ""15"", ""away_league_position"": ""13"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""5"", ""away_league_D"": ""3"", ""away_league_L"": ""8"", ""away_league_GF"": ""18"", ""away_league_GA"": ""24"", ""away_league_PTS"": ""18"", ""team_badge"": ""https://apiv3.apifootball.com/badges/3089_nottingham-forest.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
3081,West Ham,England,London,1895,London Stadium,2023,17,32,8,8,16,40,57,32,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": """", ""home_league_position"": ""16"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""4"", ""home_league_D"": ""4"", ""home_league_L"": ""8"", ""home_league_GF"": ""22"", ""home_league_GA"": ""28"", ""home_league_PTS"": ""16"", ""away_league_position"": ""16"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""4"", ""away_league_D"": ""4"", ""away_league_L"": ""8"", ""away_league_GF"": ""18"", ""away_league_GA"": ""29"", ""away_league_PTS"": ""16"", ""team_badge"": ""https://apiv3.apifootball.com/badges/3081_west-ham-united.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
164,Tottenham,England,London,1882,Tottenham Hotspur Stadium,2023,18,32,7,9,16,40,51,30,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": ""Relegation - Championship"", ""home_league_position"": ""20"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""2"", ""home_league_D"": ""4"", ""home_league_L"": ""10"", ""home_league_GF"": ""18"", ""home_league_GA"": ""28"", ""home_league_PTS"": ""10"", ""away_league_position"": ""9"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""5"", ""away_league_D"": ""5"", ""away_league_L"": ""6"", ""away_league_GF"": ""22"", ""away_league_GA"": ""23"", ""away_league_PTS"": ""20"", ""team_badge"": ""https://apiv3.apifootball.com/badges/164_tottenham-hotspur.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
3075,Burnley,England,Burnley,1882,Turf Moor,2023,19,32,4,8,20,33,63,20,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": ""Relegation - Championship"", ""home_league_position"": ""19"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""2"", ""home_league_D"": ""5"", ""home_league_L"": ""9"", ""home_league_GF"": ""15"", ""home_league_GA"": ""25"", ""home_league_PTS"": ""11"", ""away_league_position"": ""19"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""2"", ""away_league_D"": ""3"", ""away_league_L"": ""11"", ""away_league_GF"": ""18"", ""away_league_GA"": ""38"", ""away_league_PTS"": ""9"", ""team_badge"": ""https://apiv3.apifootball.com/badges/3075_burnley.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
3077,Wolves,England,"Wolverhampton, West Midlands",1877,Molineux Stadium,2023,20,32,3,8,21,24,58,17,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": ""Relegation - Championship"", ""home_league_position"": ""18"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""3"", ""home_league_D"": ""3"", ""home_league_L"": ""10"", ""home_league_GF"": ""17"", ""home_league_GA"": ""31"", ""home_league_PTS"": ""12"", ""away_league_position"": ""20"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""0"", ""away_league_D"": ""5"", ""away_league_L"": ""11"", ""away_league_GF"": ""7"", ""away_league_GA"": ""27"", ""away_league_PTS"": ""5"", ""team_badge"": ""https://apiv3.apifootball.com/badges/3077_wolverhampton-wanderers.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
